[score_server v3.2b] model_version=v3.2b artifacts_dir=D:\Desktop\졸업작품\capstone-k8s-recovery\anomaly-detection\v3\model_v32b\artifacts features(6)=['cpu_mean', 'cpu_slope', 'memory_mean', 'memory_slope', 'cache_mean', 'cache_slope'] threshold=-0.0742929709960305 recovery_policy_url=http://127.0.0.1:63416/signal artifact_hashes={'model.pkl': '2102e4f5f0d06809402f6f11c0396f0249bda3864bf6eeb18c52ac626e1a9243', 'scaler.pkl': '8d9faaa113227467a8ba206661d9fc0b89a663d87306a0eb5d49dc38b837eaba', 'threshold.json': '55ccc308f0c5f7d7606fa1ade4b806acc122279bde81b752e047fd54b6bf0944', 'feature-schema.json': 'fc452bc45eb8c85fbe3dfd8890b0ac1b306d86b8f77aec336ec64543b6ce7da2'}
[2026-09-21T09:22:21.631546+00:00] score=-0.0112 (정상), 연속=0
[2026-09-21T09:22:37.632674+00:00] score=0.0620 (정상), 연속=0
[2026-09-21T09:22:53.807648+00:00] score=0.0925 (정상), 연속=0
[2026-09-21T09:23:09.792925+00:00] score=0.0219 (정상), 연속=0
[2026-09-21T09:23:25.822322+00:00] score=0.0366 (정상), 연속=0
[2026-09-21T09:23:41.815717+00:00] score=0.0091 (정상), 연속=0
[2026-09-21T09:23:57.882230+00:00] score=0.0957 (정상), 연속=0
[2026-09-21T09:24:13.977281+00:00] score=0.0769 (정상), 연속=0
[2026-09-21T09:24:30.118744+00:00] score=0.0507 (정상), 연속=0
[2026-09-21T09:24:46.111398+00:00] score=0.1292 (정상), 연속=0
[2026-09-21T09:25:02.308645+00:00] score=0.0700 (정상), 연속=0
[2026-09-21T09:25:18.314372+00:00] score=0.0110 (정상), 연속=0
[2026-09-21T09:25:34.346783+00:00] score=0.0912 (정상), 연속=0
[2026-09-21T09:25:50.388829+00:00] score=0.0676 (정상), 연속=0
[2026-09-21T09:26:06.376490+00:00] score=0.0829 (정상), 연속=0
[2026-09-21T09:26:22.180656+00:00] score=0.0858 (정상), 연속=0
[2026-09-21T09:26:38.083042+00:00] score=0.0430 (정상), 연속=0
[2026-09-21T09:26:53.910383+00:00] score=0.0787 (정상), 연속=0
[2026-09-21T09:27:09.836162+00:00] score=0.0251 (정상), 연속=0
[2026-09-21T09:27:25.873774+00:00] score=0.0882 (정상), 연속=0
[2026-09-21T09:27:41.934207+00:00] score=0.0236 (정상), 연속=0
[2026-09-21T09:27:57.996095+00:00] score=0.0767 (정상), 연속=0
[2026-09-21T09:28:13.897187+00:00] score=0.1194 (정상), 연속=0
[2026-09-21T09:28:30.102590+00:00] score=0.0599 (정상), 연속=0
[2026-09-21T09:28:46.065291+00:00] score=0.0681 (정상), 연속=0
[2026-09-21T09:29:01.757876+00:00] score=0.0078 (정상), 연속=0
[2026-09-21T09:29:17.646974+00:00] score=-0.0394 (정상), 연속=0
[2026-09-21T09:29:33.695216+00:00] score=0.0001 (정상), 연속=0
[2026-09-21T09:29:49.669978+00:00] score=0.0797 (정상), 연속=0
[2026-09-21T09:30:05.702028+00:00] score=-0.1008 (이상), 연속=1
[2026-09-21T09:30:21.725022+00:00] score=-0.0625 (정상), 연속=0
[2026-09-21T09:30:37.851191+00:00] score=0.1009 (정상), 연속=0
[2026-09-21T09:30:53.827022+00:00] score=0.1389 (정상), 연속=0
[2026-09-21T09:31:09.919264+00:00] score=0.0901 (정상), 연속=0
[2026-09-21T09:31:25.987287+00:00] score=0.1309 (정상), 연속=0
[2026-09-21T09:31:43.938541+00:00] score=0.0894 (정상), 연속=0
[2026-09-21T09:32:01.097458+00:00] score=0.0387 (정상), 연속=0
[2026-09-21T09:32:17.488420+00:00] score=0.1157 (정상), 연속=0
[2026-09-21T09:32:33.548714+00:00] score=0.1107 (정상), 연속=0
[2026-09-21T09:32:49.596449+00:00] score=0.1395 (정상), 연속=0
[2026-09-21T09:33:05.765813+00:00] score=0.1345 (정상), 연속=0
[2026-09-21T09:33:21.568953+00:00] score=0.1290 (정상), 연속=0
[2026-09-21T09:33:37.553181+00:00] score=0.0600 (정상), 연속=0
[2026-09-21T09:33:53.562756+00:00] score=0.0193 (정상), 연속=0
[2026-09-21T09:34:09.416264+00:00] score=0.0998 (정상), 연속=0
[2026-09-21T09:34:25.402663+00:00] score=0.1017 (정상), 연속=0
[2026-09-21T09:34:41.466906+00:00] score=0.0560 (정상), 연속=0
